Subject,manipulation,Manipulation,Stimulation,Session,VisualF,Response,StartTime
S4,UR,Attended Visual Field,Sham,Post_2,Right,0.6379310344827587,282.9485133862392
S4,UR,Ignored Visual Field,Sham,Post_2,Left,0.7,304.7277171280421
S5,UR,Attended Visual Field,Sham,Post_2,Right,0.9183673469387755,247.56545083062505
S5,UR,Ignored Visual Field,Sham,Post_2,Left,0.9482758620689655,342.5691215362167
S6,UL,Ignored Visual Field,Sham,Post_2,Right,0.6428571428571429,317.80941813571087
S6,UL,Attended Visual Field,Sham,Post_2,Left,0.5789473684210527,280.5458058403476
S7,UL,Ignored Visual Field,Sham,Post_2,Right,0.6607142857142857,291.72773122321394
S7,UL,Attended Visual Field,Sham,Post_2,Left,0.7931034482758621,307.4669925224134
S8,UR,Ignored Visual Field,Sham,Post_2,Left,0.8,288.2176296127833
S8,UR,Attended Visual Field,Sham,Post_2,Right,0.56,303.9436622920493
S9,UR,Attended Visual Field,Sham,Post_2,Right,0.6491228070175439,277.61728186140283
S9,UR,Ignored Visual Field,Sham,Post_2,Left,0.7547169811320755,323.1401271264144
S10,UL,Ignored Visual Field,Sham,Post_2,Right,0.7636363636363637,286.4359577872728
S10,UL,Attended Visual Field,Sham,Post_2,Left,0.875,308.9217028214287
S11,UR,Ignored Visual Field,Sham,Post_2,Left,0.8363636363636363,296.5000368581799
S11,UR,Attended Visual Field,Sham,Post_2,Right,0.8596491228070176,296.80437689122493
S12,Bi,Control,Sham,Post_2,Left,0.6949152542372882,309.0849489474717
S12,Bi,Control,Sham,Post_2,Right,0.6071428571428571,290.78988797145263
S13,UL,Attended Visual Field,Sham,Post_2,Left,0.6607142857142857,282.11064129105216
S13,UL,Ignored Visual Field,Sham,Post_2,Right,0.7708333333333334,291.82757022706454
S14,Bi,Control,Sham,Post_2,Right,0.8518518518518519,274.6169040814834
S14,Bi,Control,Sham,Post_2,Left,0.5652173913043478,286.7740598369582
S15,UL,Attended Visual Field,Sham,Post_2,Left,0.6833333333333333,298.00461448166027
S15,UL,Ignored Visual Field,Sham,Post_2,Right,0.6727272727272727,298.9333210927201
S16,UL,Ignored Visual Field,Sham,Post_2,Right,0.7931034482758621,269.4089989603446
S16,UL,Attended Visual Field,Sham,Post_2,Left,0.7777777777777778,328.5694482703702
S17,UR,Ignored Visual Field,Sham,Post_2,Left,0.9615384615384616,309.1185103172924
S17,UR,Attended Visual Field,Sham,Post_2,Right,0.7916666666666666,277.21994271456305
S18,Bi,Control,Sham,Post_2,Left,0.6346153846153846,292.57914063089993
S18,Bi,Control,Sham,Post_2,Right,0.7719298245614035,305.2859450685138
S19,UL,Ignored Visual Field,Sham,Post_2,Right,0.6428571428571429,307.1084864571125
S19,UL,Attended Visual Field,Sham,Post_2,Left,0.8727272727272727,291.62898026179226
S20,UL,Attended Visual Field,Sham,Post_2,Left,0.6792452830188679,305.3239697320837
S20,UL,Ignored Visual Field,Sham,Post_2,Right,0.5454545454545454,290.75127652364637
S21,Bi,Control,Sham,Post_2,Left,0.5833333333333334,287.4782953133397
S21,Bi,Control,Sham,Post_2,Right,0.7090909090909091,318.4370976163707
S22,Bi,Control,Sham,Post_2,Left,0.6101694915254238,288.66710853895125
S22,Bi,Control,Sham,Post_2,Right,0.7142857142857143,311.76068546068774
S23,Bi,Control,Sham,Post_2,Left,0.6666666666666666,313.09652755916534
S23,Bi,Control,Sham,Post_2,Right,0.6666666666666666,279.80488658324856
S24,Bi,Control,Sham,Post_2,Left,0.7450980392156863,336.26976881176455
S24,Bi,Control,Sham,Post_2,Right,0.7818181818181819,272.5180981963635
S25,UR,Attended Visual Field,Sham,Post_2,Right,0.6896551724137931,335.5632119775809
S25,UR,Ignored Visual Field,Sham,Post_2,Left,0.72,247.8681181879944
S26,UR,Ignored Visual Field,Sham,Post_2,Left,0.8,298.1324476727311
S26,UR,Attended Visual Field,Sham,Post_2,Right,0.7924528301886793,277.66706083396497
S27,UR,Attended Visual Field,Sham,Post_2,Right,0.7169811320754716,329.56442277172454
S27,UR,Ignored Visual Field,Sham,Post_2,Left,0.847457627118644,271.76993982036504
S28,UL,Attended Visual Field,Sham,Post_2,Left,0.8666666666666667,313.69301545554384
S28,UL,Ignored Visual Field,Sham,Post_2,Right,0.6724137931034483,272.12805569998955
S29,UL,Ignored Visual Field,Sham,Post_2,Right,0.5789473684210527,295.0918119175424
S29,UL,Attended Visual Field,Sham,Post_2,Left,0.7358490566037735,301.0180077245269
S30,UR,Attended Visual Field,Sham,Post_2,Right,0.8571428571428571,295.37150384490593
S30,UR,Ignored Visual Field,Sham,Post_2,Left,0.9183673469387755,296.71930240001114
S31,Bi,Control,Sham,Post_2,Left,0.85,283.9568817100216
S31,Bi,Control,Sham,Post_2,Right,0.8392857142857143,312.56126815538613
S32,UL,Ignored Visual Field,Sham,Post_2,Right,0.7454545454545455,301.28828099090885
S32,UL,Attended Visual Field,Sham,Post_2,Left,0.7213114754098361,298.6011720606555
S33,Bi,Control,Sham,Post_2,Left,0.7692307692307693,286.52636969231247
S33,Bi,Control,Sham,Post_2,Right,0.5535714285714286,302.4193015160755
S34,UL,Attended Visual Field,Sham,Post_2,Left,0.7142857142857143,292.52690424691593
S34,UL,Ignored Visual Field,Sham,Post_2,Right,0.6862745098039216,306.3505439450816
S35,Bi,Control,Sham,Post_2,Left,0.54,305.17679601197483
S35,Bi,Control,Sham,Post_2,Right,0.532258064516129,291.7305648370717
S36,UR,Ignored Visual Field,Sham,Post_2,Left,0.8867924528301887,303.38470183961965
S36,UR,Attended Visual Field,Sham,Post_2,Right,0.5538461538461539,292.5410391153911
S37,Bi,Control,Sham,Post_2,Left,0.5849056603773585,303.5815437528006
S37,Bi,Control,Sham,Post_2,Right,0.6111111111111112,296.8423890851522
S38,UL,Attended Visual Field,Sham,Post_2,Left,0.7735849056603774,311.77842290000467
S38,UL,Ignored Visual Field,Sham,Post_2,Right,0.6458333333333334,277.62868452500487
S39,Bi,Control,Sham,Post_2,Right,0.6379310344827587,295.87295460172203
S39,Bi,Control,Sham,Post_2,Left,0.8909090909090909,294.3254626454529
S1,Bi,Control,Active,Pre,Right,0.6727272727272727,294.55968451089524
S1,Bi,Control,Active,Pre,Left,0.7441860465116279,298.9831865418474
S2,UR,Ignored Visual Field,Active,Pre,Left,0.7962962962962963,295.71289501476525
S2,UR,Attended Visual Field,Active,Pre,Right,0.8214285714285714,296.47596419817586
